"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"ts300399","Five Came Back: The Reference Films","SHOW","This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,"TV-MA",51,"['documentation']","['US']",1,"",NA,NA,0.6,NA
"ts22164","Monty Python's Flying Circus","SHOW","A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,"TV-14",30,"['comedy', 'european']","['GB']",4,"tt0063929",8.8,73424,17.617,8.306
"ts45948","Monty Python's Fliegender Zirkus","SHOW","Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,"TV-MA",43,"['comedy']","[]",1,"tt0202477",8.1,2151,1.487,7
"ts20681","Seinfeld","SHOW","A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.",1989,"TV-PG",24,"['comedy']","['US']",9,"tt0098904",8.9,308824,130.213,8.301
"ts22082","Knight Rider","SHOW","Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,"TV-PG",51,"['scifi', 'action', 'crime', 'drama']","['US']",4,"tt0083437",6.9,34115,50.267,7.5
"ts21715","Thomas & Friends","SHOW","Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,"TV-Y",10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']","['GB']",24,"tt0086815",6.5,5104,42.196,6.5
"ts20678","Saved by the Bell","SHOW","Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,"TV-G",23,"['family', 'comedy', 'romance']","['US']",5,"tt0096694",7.1,35034,19.855,8
"ts25028","Wheel of Fortune","SHOW","This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,"TV-G",26,"['family']","['US']",39,"tt0072584",6.7,3145,5.935,6.8
"ts23753","Major Dad","SHOW","Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,"TV-PG",24,"['comedy', 'family']","['US']",4,"tt0096643",6.5,2922,9.849,6.5
"ts987","Danger Mouse","SHOW","Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,"TV-Y",14,"['animation', 'comedy', 'family', 'scifi', 'european']","['GB']",10,"tt0081848",7.4,3545,8.55,7.5
"ts2760","Fireman Sam","SHOW","Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,"TV-Y",10,"['animation', 'comedy', 'family', 'crime', 'european']","['GB']",13,"tt0329829",6.1,1785,37.647,7.2
"ts63001","High Risk","SHOW","High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,"TV-PG",50,"['comedy']","['US']",1,"tt5944220",3.8,6,1.4,NA
"ts20981","Survivor","SHOW","A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,"TV-PG",48,"['reality']","['US']",42,"tt0239195",7.4,24687,54.19,7.4
"ts22176","Stargate SG-1","SHOW","The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,"TV-PG",44,"['scifi', 'drama', 'action']","['CA', 'US']",10,"tt0118480",8.4,90196,88.851,8.3
"ts21223","Pokémon","SHOW","Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997,"TV-Y7",22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']","['JP']",25,"tt14053732",7.4,198,115.356,7.633
"ts20339","One Piece","SHOW","Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,"TV-14",23,"['animation', 'action', 'comedy', 'drama', 'fantasy']","['JP']",21,"tt0388629",8.8,117129,143.457,8.764
"ts5145","The Challenge","SHOW","Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,"TV-14",40,"['reality', 'comedy', 'drama', 'scifi']","['US']",37,"tt6274074",7.8,3362,18.075,7.7
"ts34435","Cowboy Bebop","SHOW","In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,"TV-14",25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']","['JP']",1,"tt0213338",8.9,115448,35.402,8.522
"ts20983","Neon Genesis Evangelion","SHOW","At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995,"TV-14",24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']","['JP']",1,"tt0112159",8.5,66629,49.27,8.637
"ts21567","Gilmore Girls","SHOW","Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000,"TV-14",46,"['comedy', 'drama']","['US']",8,"tt0238784",8.2,121462,58.578,7.827
"ts20960","Power Rangers","SHOW","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,"TV-Y7",22,"['action', 'scifi', 'fantasy', 'family']","['US']",29,"tt0106064",6.5,22110,19.699,6.8
"ts25252","Yu-Gi-Oh!","SHOW","A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",1998,"TV-Y",22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']","['JP']",7,"tt4834194",7.3,21113,33.504,7.358
