"X","id","title","type","description","release_year","age_certification","runtime","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","sport","war","animation","family","action","western","european","reality","thriller","crime","comedy","documentation","fantasy","scifi","romance","horror","history","music"
182,"tm184326","Damini","MOVIE","The theme revolves around the character Damini who represents truth and innocence. After her marriage in renowned wealthy family, Damini happens to see a cruel act done by her brother-in-law. She wants the victim to get justice, but the family including her husband oppose her, which leads her to leave the house. Soon she is helped by a drunkard, an ex-advocate, who helps her in all respect to reach to her aim and therefore justice",1993,"",175,"['IN']",NA,"tt0106655",7.8,3523,3.328,7.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183,"tm62385","Hum Saath Saath Hain","MOVIE","Ramkishen and his wife Mamta have three sons. Prem and Vinod have sweethearts in Preeti and Vivek marries Sangeeta. Since Vivek is Mamta's step-son, she plots to alienate him, but will she succeed?",1999,"G",177,"['IN']",NA,"tt0216817",6.2,8552,7.865,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
184,"tm191614","Destiny","MOVIE","In the 12th century's Andalusia lives Ibn Rushd a prominent islamic philosopher with his wife Zeinab and daughter Sara. The principality is ruled by Khalifa ElMansour who has two sons, ElNasser, an intellectual that likes Ibn Rush and is in love with his daughter Sara. The younger son Abdallah is more into dancing and poetry, spending most of his times with the gypsy family and getting the daughter pregnant. The Khalifa is depending on the extremists to build his army granting them more power which they use to combat artists and philosophers. The extremists succeed in recruiting Abd Allah and train him to kill his father. Events go on where Marawan, the gypsy singer, is killed and Ibn Rushd's books are burnt. Adapted from the real life of Ibn Rushd AlMasir is Chahine's statement against extremism.",1997,"",136,"['FR', 'EG']",NA,"tt0119629",7.1,2857,3.287,6.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
185,"tm110766","Chronicle of a Disappearance","MOVIE","Chronicle of a Disappearance unfolds in a series of seemingly unconnected cinematic tableaux, each of them focused on incidents or characters which seldom reappear later in the film. Among the many unrelated scenes, there is a Palestinian actress struggling to find an apartment in West Jerusalem, the owner of the Holy Land souvenir shop preparing merchandise for incoming Japanese tourists, a group of old women gossiping about their relatives, and an Israeli police van which screeches to a halt so several heavily armed soldiers can get off the car and urinate.",1996,"",88,"['PS', 'US', 'FR', 'DE']",NA,"tt0115895",6.9,733,2.099,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"tm9898","Muthu","MOVIE","A lavish Maharaja lived with his sister-in-law and stepbrother Rajasekhar, helping people incessantly. His sister-in-law has a son, to whom the Maharaja bequeaths a major portion of his property. At this juncture, a new baby is born to the Maharaja.His wife dies soon after. Brother Rajasekhar cheats the Maharaja as he fears that his son's property might be taken back and given to the Maharaja's own son. When the cheating comes to light, the Maharaja hands over all his property and his baby to his sister-in-law...",1995,"G",165,"['IN']",NA,"tt0140399",7.6,3056,3.576,6.9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
187,"tm47530","Jeans","MOVIE","Vishu and Ramu are a pair of Indian twins living in America with their father, Rajamani. When Madhumita (Aishwarya Rai) and her brother come to America to get medical treatment for their ailing grandmother, Vishu and Ramu end up meeting them at the airport. Vishu falls in love with Madhumita, and the couple has everyone's blessing, except for Rajamani, who is estranged from his own twin brother. He only wants his sons to marry twin sisters, so Madhumita pretends to have a twin in order to please him. As Madhumita puts on a charade by creating Vaishnavi, all goes well, until Ramu falls in love with Vaishnavi. Now the truth must come out, before Madhumita has to marry both of Rajamani's twin sons.",1998,"",175,"['IN']",NA,"tt0151121",6.4,3604,3.393,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
188,"tm57169","Monty Python: Live at Aspen","MOVIE","In March 1998 in Aspen, Colorado, the surviving members of the Monty Paython team - John Cleese, Terry Gilliam, Eric Idle, Terry Jones and Michael Palin - shared a stage together for the first time in 18 years. Even more remarkably, Graham Chapman was there too....in an urn! The occasion for this renuion was the US Comedy Arts Festival Tribute to Monty Python, hosted by Robert Klien in front of a live audience.",1998,"",58,"['GB', 'US']",NA,"tt0287570",7.8,1096,2.681,6.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
189,"tm192301","Minsara Kanavu","MOVIE","Priya decides that she wants to be a nun, much to the horror of her father and Thomas, the boy who is in love with her. Thomas decides to enlist the help of Deva to change her mind.",1997,"G",145,"['IN']",NA,"tt0274789",6.7,1226,2.316,6.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
190,"tm58893","Duplicate","MOVIE","Seeking vengeance on those who double-crossed him, an escaped prisoner impersonates an unsuspecting chef.",1998,"PG",165,"['IN']",NA,"tt0164550",5.5,7618,4.112,6,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
191,"tm110160","Avvai Shanmugi","MOVIE","A divorced husband desperately misses his daughter. In order to be with her, he takes up a job in his father-in-law's house. The only catch is that the job is that of a female governess.",1996,"PG-13",160,"['IN']",NA,"tt0139872",7.9,2586,2.828,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,"tm118438","Anjaam","MOVIE","After mistaking a flight attendant's attention for love, a wealthy, spoiled man becomes obsessed with her and soon tears her life apart.",1994,"",137,"['IN']",NA,"tt0109134",6.6,6532,3.806,7.1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
193,"tm424630","A Triumph of the Heart: The Ricky Bell Story","MOVIE","Ricky Bell, an all-pro running back with the Tampa Bay Buccaneers, who died of a rare muscle disease in the prime of his career. The plot centers on Bell's relationship with a father-less handicapped boy, and his efforts to be a big brother to him. The boy ends up being an inspiration for Bell when his disease makes the athlete more afflicted than the boy.",1991,"",100,"['US']",NA,"tt0103123",7.2,250,1.533,5.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"tm203186","Children of Shatila","MOVIE","Many people first became aware of the Shatila refugee camp in Lebanon after the shocking and horrific Sabra-Shatila massacre that took place there in 1982. Located in Beirut's ""belt of misery,"" the camp is home to 15,000 Palestinians and Lebanese who share a common experience of displacement, unemployment and poverty.  Fifty years after the exile of their grandparents from Palestine, the children of Shatila attempt to come to terms with the reality of being refugees in a camp that has survived massacre, siege and starvation.  Director Mai Masri focuses on two Palestinian children in the camp: Farah, age 11 and Issa, age 12. When these children are given video cameras, the story of the camp evolves from their personal narratives as they articulate the feelings and hopes of their generation.",1999,"",50,"['LB']",NA,"tt0243174",8.1,78,1.635,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
196,"tm128073","Bill Hicks: Relentless","MOVIE","Bill Hicks tells us how he feels about non-smokers, blow-jobs, religion, war and peace, and drugs and music.",1992,"",61,"['GB']",NA,"",NA,NA,3.822,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,"tm7951","Tim Allen: Rewires America","MOVIE","This is arguably Tim Allen's best stand-up show ever and this show truly solidified Tim Allen's unique slant on masculinity becoming the backbone for his TV show “Home Improvement.”",1991,"PG",30,"['US']",NA,"tt0294967",6,198,2.297,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
198,"tm7135","Bill Hicks: One Night Stand","MOVIE","Bill Hicks shows us his view on smoking, smoking pot, drinking, sex, advertisement and music. It's not a view you hear very often.",1991,"NC-17",30,"['US']",NA,"",NA,NA,1.08,7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,"tm52083","West Beirut","MOVIE","In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May, a Christian, orphaned and living in his building. By accident, Tarek goes to an infamous brothel in the war-torn Olive Quarter, meeting its legendary madam, Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age, the war moves inexorably from adventure to tragedy.",1998,"PG-13",105,"['FR', 'NO', 'LB', 'BE']",NA,"tt0157183",7.6,4221,3.308,7.3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
200,"tm340430","Govindha Govindha","MOVIE","A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the plot.",1993,"",145,"['IN']",NA,"tt0187096",6.6,356,1.248,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
201,"tm7032","Out of Life","MOVIE","Patrick Perrault, a photo-journalist covering the war in Beirut in the late 1980s, is himself caught up in the hostilities when one day he is picked up and bundled into a car at gun-point. Blind-folded, he is taken to an unknown location where he discovers that he is being taken hostage by Lebanese guerrillas.",1991,"",97,"['BE', 'FR', 'IT', 'LB']",NA,"tt0102058",6.9,376,2.481,6.2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
202,"tm256669","Gumrah","MOVIE","Roshni Chadha makes her living, singing in various places and this makes her the breadwinner of her home. She soon gets to meet the handsome and wealthy Rahul Malhotra, who finds out that she can actually sing professionally and he helps her to attain this goal, which soon became a success and Roshni falls in love with Rahul and finds out that he has the same feelings for her. On a foreign trip, Roshni is arrested by the police for having in her possession cocaine, Rahul disappears leaving Roshni in hot-soup and now she must prepare to undergo her prison terms as there is no one to help her.",1993,"",149,"['IN']",NA,"tt0107060",6.1,795,1.763,6.7,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
203,"tm64729","Sinbad: Nothin' but the Funk","MOVIE","Enjoy Comedic Superstar Sinbad as he gives us one of his most stellar stand up performances, shot on the beautiful island of Aruba at the Guillermo P. Trinidad Theatre. As always, Sinbad shows why he’s a veteran in comedy since the 80’s, with an entertaining show that the entire family can enjoy.",1998,"",56,"['US']",NA,"tt0938332",6.3,65,1.83,5.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
204,"tm184224","Sinbad: Afros and Bellbottoms","MOVIE","Sinbad brings the '70s back with a nostalgic stand-up special dedicated to the films, fashion and other flashbacks from that era.",1993,"PG-13",60,"['US']",NA,"tt0938331",7.8,172,3.793,5.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
207,"tm44776","The Other","MOVIE","Adam is the son of a wealthy Egyptian-American family who is studying at UCLA and returns home for a brief vacation. Upon his arrival he meets beautiful reporter Hanane, with whom he begins an intense love affair, and eventually they marry. Trouble arises when Hanane' s journalistic interests lead her to the corrupt business affairs of Adam's parents, who are interested in building an American tourist compound that would allow Americans further control of Egypt's tourist industry, and make them a whole lot richer.",1999,"",106,"['FR', 'EG']",NA,"tt0196355",5.9,997,1.12,5.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
208,"tm334788","Yodha","MOVIE","Suraj Singh is addicted to drugs and as a result witnessed his girlfriend being raped in front of his eyes with him being helpless, from here on he vows to put an end to all drug dealers and started to work as a hit man for an underworld don, Daaga also known as Justice Dharmesh Agnihotri. He also meets and make enemy with a lawyer, Karan Srivastav, who is looking for the murderer of his father, journalist Chandrakant. As time proceeds, Suraj and Karan would frequently get into brawls in front of the society to the extent that each of them will now do anything to kill the other. Unknown to both that one person is responsible for there lives being upside down and he is under the veil of respectability - non other than Justice Dharmesh Agnihotri alias Dagga.",1991,"",142,"['IN']",NA,"tt0267130",4.5,198,1.554,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,"tm117840","The Emigrant","MOVIE","The biblical tale of Joseph is told from an Egyptian perspective in this interesting character study. In this film, Joseph is called Ram. Ram, tired of his family's backward superstitious life, and tired of being picked on by his brothers, wants to go to Egypt to study agriculture. His brothers travel with him across Sinai, but then suddenly sell him to Ozir, an Egyptian who works for a Theban military leader, Amihar. Amihar is impressed by Ram's drive and personal charm and so grants Ram some desolate land outside the capital. Ram soon finds himself a pawn in the political and sexual games between Amihar and his wife Simihit, a high priestess of the Cult of Amun.",1994,"",129,"['FR', 'EG']",NA,"tt0110545",6.5,1015,1.4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"tm42397","Hello Brother","MOVIE","A ghost seeking revenge for his death haunts the man who received his heart in a transplant.",1999,"",131,"['IN']",NA,"tt0233856",4.6,4262,4.338,5.3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
211,"tm314602","Dushmani","MOVIE","In order to settle personal scores; two gang leaders, Jai Singh and Oberoi fight for many years in gang-wars. There enmity multiplies when Jai's younger brother, Suraj falls in love with Oberoi's sister, Sapna which forces Suraj and Sapna to elope. Jai then locates the duo and brings them back to try and convince Oberoi to get them marry albeit successful.",1995,"",156,"['IN']",NA,"tt0112916",5,249,2.045,7.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
212,"tm255589","One Last Shot","MOVIE","In this low-budget short film, two best buddies meet up for a night of booze-fueled fun before one of them moves to Vancouver.",1998,"",30,"[]",NA,"",NA,NA,1.89,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,"tm7810","Nightmare in Columbia County","MOVIE","The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's. Southern beauty pageant winner Dawn Smith is targeted by a sadistic stalker whose obsession with her leads him to kidnap her younger sister.",1991,"",100,"['US']",NA,"tt0102537",5.5,345,2.713,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
214,"tm210754","Have You Ever Seen Fireflies? - Theatre Play","MOVIE","Yılmaz Erdoğan's lauded stage play traces the life of wunderkind Gülseren as she navigates social and political change.",1999,"",118,"['TR']",NA,"",NA,NA,1.396,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"tm449775","Shikari","MOVIE","Shankar and Chanchal earn their living by doing road shows. Once, Shankar sees Natasha on a circus poster and dreams of working with her. He gets an offer to work in the circus in Russia.",1991,"",162,"['IN', 'SU']",NA,"tt0170416",5.8,68,1.323,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
